datetime,client,close,price_am,price_pm
2016-06-21,0,0,0,0
2016-06-22,0,0,0,0
2016-06-23,0,0,0,0
2016-06-24,0,0,1,1
2016-06-25,0,0,2,2
2016-06-26,0,0,2,1
2016-06-27,0,0,1,0
2016-06-28,1,0,1,0
2016-06-29,0,0,1,0
2016-06-30,0,0,1,1
2016-07-01,0,0,1,1
2016-07-02,0,0,2,1
2016-07-03,0,0,1,1
2016-07-04,0,0,0,0
2016-07-05,0,0,0,0
2016-07-06,0,0,0,0
2016-07-07,0,0,0,0
2016-07-08,0,0,1,1
2016-07-09,0,0,2,2
2016-07-10,0,0,0,0
2016-07-11,0,0,0,0
2016-07-12,0,0,0,0
2016-07-13,0,0,0,0
2016-07-14,0,0,0,0
2016-07-15,0,0,1,1
2016-07-16,0,0,1,1
2016-07-17,1,0,1,0
2016-07-18,0,0,0,0
2016-07-19,0,0,0,0
2016-07-20,0,0,0,0
2016-07-21,0,0,0,0
2016-07-22,0,0,1,1
2016-07-23,0,0,1,1
2016-07-24,0,0,1,1
2016-07-25,0,0,0,0
2016-07-26,0,0,0,0
2016-07-27,0,0,0,0
2016-07-28,0,0,0,0
2016-07-29,0,0,1,1
2016-07-30,0,0,2,1
2016-07-31,0,0,2,1
2016-08-01,0,0,1,0
2016-08-02,0,0,1,0
2016-08-03,0,0,0,0
2016-08-04,0,0,0,0
2016-08-05,0,0,1,0
2016-08-06,0,0,1,1
2016-08-07,0,0,1,0
2016-08-08,0,0,0,0
2016-08-09,0,0,0,0
2016-08-10,0,0,0,0
2016-08-11,0,0,0,0
2016-08-12,0,0,1,1
2016-08-13,0,0,0,0
2016-08-14,0,0,0,0
2016-08-15,0,0,0,0
2016-08-16,0,1,-1,-1
2016-08-17,0,0,0,0
2016-08-18,0,0,0,0
2016-08-19,0,0,1,0
2016-08-20,0,0,1,1
2016-08-21,1,0,0,0
2016-08-22,0,0,0,0
2016-08-23,1,0,0,0
2016-08-24,1,0,0,0
2016-08-25,0,0,0,0
2016-08-26,1,0,1,1
2016-08-27,1,0,2,1
2016-08-28,1,0,1,1
2016-08-29,1,0,0,0
2016-08-30,1,0,0,0
2016-08-31,1,0,1,1
2016-09-01,1,0,1,1
2016-09-02,0,0,1,0
2016-09-03,1,0,1,1
2016-09-04,1,0,1,1
2016-09-05,0,0,0,0
2016-09-06,0,0,0,0
2016-09-07,0,0,0,0
2016-09-08,0,0,0,0
2016-09-09,1,0,1,1
2016-09-10,1,0,2,1
2016-09-11,0,0,1,0
2016-09-12,0,0,0,0
2016-09-13,1,0,0,0
2016-09-14,0,0,0,0
2016-09-15,0,0,0,0
2016-09-16,1,0,1,1
2016-09-17,1,0,2,1
2016-09-18,0,0,2,0
2016-09-19,0,0,0,0
2016-09-20,0,0,1,0
2016-09-21,1,0,1,0
2016-09-22,1,0,1,0
2016-09-23,1,0,1,1
2016-09-24,1,0,2,2
2016-09-25,1,0,2,1
2016-09-26,0,0,0,0
2016-09-27,0,0,0,0
2016-09-28,1,0,1,0
2016-09-29,1,0,1,0
2016-09-30,1,0,1,1
2016-10-01,1,0,2,1
2016-10-02,1,0,1,1
2016-10-03,1,0,0,0
2016-10-04,1,0,0,0
2016-10-05,1,0,0,0
2016-10-06,1,0,0,0
2016-10-07,1,0,1,1
2016-10-08,1,0,2,1
2016-10-09,1,0,2,0
2016-10-10,1,0,1,0
2016-10-11,1,0,0,0
2016-10-12,1,0,0,0
2016-10-13,1,0,0,0
2016-10-14,1,0,1,1
2016-10-15,1,0,1,1
2016-10-16,1,0,1,0
2016-10-17,0,0,0,0
2016-10-18,1,0,0,0
2016-10-19,1,0,0,0
2016-10-20,1,0,0,0
2016-10-21,1,0,1,1
2016-10-22,1,0,2,1
2016-10-23,1,0,1,0
2016-10-24,1,0,0,0
2016-10-25,1,0,0,0
2016-10-26,1,0,0,0
2016-10-27,1,0,1,1
2016-10-28,1,0,1,1
2016-10-29,1,0,2,2
2016-10-30,1,0,2,1
2016-10-31,1,0,1,1
2016-11-01,1,0,0,0
2016-11-02,1,0,0,0
2016-11-03,1,0,0,0
2016-11-04,1,0,0,0
2016-11-05,1,0,1,1
2016-11-06,1,0,1,0
2016-11-07,1,0,0,0
2016-11-08,1,0,0,0
2016-11-09,0,0,0,0
2016-11-10,0,0,0,0
2016-11-11,1,0,0,0
2016-11-12,1,0,1,1
2016-11-13,0,0,0,0
2016-11-14,1,0,0,0
2016-11-15,0,0,0,0
2016-11-16,1,0,0,0
2016-11-17,1,0,0,0
2016-11-18,0,0,0,0
2016-11-19,1,0,2,1
2016-11-20,0,0,1,0
2016-11-21,1,0,0,0
2016-11-22,1,0,0,0
2016-11-23,0,0,0,0
2016-11-24,0,0,0,0
2016-11-25,1,0,1,1
2016-11-26,0,0,2,2
2016-11-27,1,0,2,1
2016-11-28,1,0,0,0
2016-11-29,1,0,1,1
2016-11-30,1,0,1,1
2016-12-01,1,0,1,1
2016-12-02,1,0,1,1
2016-12-03,1,0,2,1
2016-12-04,1,0,1,0
2016-12-05,1,0,0,0
2016-12-06,1,0,0,0
2016-12-07,1,0,0,0
2016-12-08,1,0,0,0
2016-12-09,1,0,1,1
2016-12-10,1,0,1,1
2016-12-11,1,0,1,0
2016-12-12,1,0,0,0
2016-12-13,0,0,0,0
2016-12-14,0,0,0,0
2016-12-15,0,0,0,0
2016-12-16,1,0,1,1
2016-12-17,1,0,2,1
2016-12-18,1,0,1,0
2016-12-19,1,0,0,0
2016-12-20,1,0,0,0
2016-12-21,1,0,0,0
2016-12-22,1,0,0,0
2016-12-23,1,0,1,1
2016-12-24,1,0,2,2
2016-12-25,1,0,2,1
2016-12-26,1,0,1,1
2016-12-27,1,0,0,0
2016-12-28,1,0,0,0
2016-12-29,1,0,1,0
2016-12-30,0,0,1,1
2016-12-31,0,1,-1,-1
2017-01-01,0,1,-1,-1
2017-01-02,0,1,-1,-1
2017-01-03,0,1,-1,-1
2017-01-04,1,0,0,0
2017-01-05,0,0,0,0
2017-01-06,0,0,0,0
2017-01-07,0,0,0,0
2017-01-08,0,0,0,0
2017-01-09,0,0,0,0
2017-01-10,0,0,0,0
2017-01-11,0,0,0,0
2017-01-12,0,0,0,0
2017-01-13,0,0,0,0
2017-01-14,0,0,1,0
2017-01-15,1,0,0,0
2017-01-16,0,0,0,0
2017-01-17,0,0,0,0
2017-01-18,0,0,0,0
2017-01-19,0,0,0,0
2017-01-20,1,0,0,0
2017-01-21,1,0,1,1
2017-01-22,1,0,1,0
2017-01-23,1,0,0,0
2017-01-24,1,0,0,0
2017-01-25,1,0,0,0
2017-01-26,1,0,0,0
2017-01-27,1,0,1,1
2017-01-28,1,0,2,1
2017-01-29,1,0,1,1
2017-01-30,1,0,1,0
2017-01-31,1,0,1,1
2017-02-01,1,0,1,1
2017-02-02,1,0,0,0
2017-02-03,1,0,0,0
2017-02-04,1,0,2,2
2017-02-05,1,0,1,0
2017-02-06,0,0,0,0
2017-02-07,1,0,0,0
2017-02-08,0,0,0,0
2017-02-09,1,0,0,0
2017-02-10,1,0,0,0
2017-02-11,1,0,2,2
2017-02-12,1,0,1,0
2017-02-13,1,0,0,0
2017-02-14,1,0,0,0
2017-02-15,1,0,0,0
2017-02-16,0,0,0,0
2017-02-17,1,0,0,0
2017-02-18,1,0,2,1
2017-02-19,0,0,1,1
2017-02-20,1,0,1,0
2017-02-21,0,0,1,0
2017-02-22,0,0,1,0
2017-02-23,0,0,1,0
2017-02-24,0,0,2,2
2017-02-25,1,0,3,3
2017-02-26,1,0,2,2
2017-02-27,1,0,2,2
2017-02-28,0,0,2,2
2017-03-01,0,0,2,1
2017-03-02,0,0,1,1
2017-03-03,1,0,1,0
2017-03-04,0,0,2,1
2017-03-05,0,0,1,1
2017-03-06,0,0,1,1
2017-03-07,0,0,1,1
2017-03-08,0,0,1,0
2017-03-09,0,0,1,0
2017-03-10,0,0,1,1
2017-03-11,0,0,1,2
2017-03-12,0,0,1,1
2017-03-13,1,0,2,1
2017-03-14,0,0,2,1
2017-03-15,0,0,1,2
2017-03-16,1,0,2,3
2017-03-17,0,0,2,3
2017-03-18,1,0,2,3
2017-03-19,0,0,4,4
2017-03-20,0,0,3,4
2017-03-21,1,0,4,4
2017-03-22,0,0,2,4
2017-03-23,0,0,3,2
2017-03-24,0,0,4,5
2017-03-25,0,0,5,5
2017-03-26,1,0,4,4
2017-03-27,0,0,5,4
2017-03-28,0,0,4,4
2017-03-29,0,0,3,3
2017-03-30,0,0,4,3
2017-03-31,1,0,5,4
